_unit_id,name,cluster,fine_cluster,cluster_human_rate,suggested
815725906,02475gnlc,2,4,0.044,non_human
815725913,04669lktc,2,4,0.044,non_human
815725952,slhb28444,2,4,0.044,non_human
815725957,07111jcsc,2,4,0.044,non_human
815725968,26238stwa,2,4,0.044,non_human
815726006,GiveBackMySkull,3,8,0.957,human
815726007,04488lktc,2,4,0.044,non_human
815726025,04076trda,2,4,0.044,non_human
815726031,07827jcsc,2,4,0.044,non_human
815726032,04085trda,2,4,0.044,non_human
815726033,05055lktb,2,4,0.044,non_human
815726034,01810gnlb,2,4,0.044,non_human
815726054,07755jcsc,2,4,0.044,non_human
815726107,06042jcsa,2,4,0.044,non_human
815726118,83812slhd,2,4,0.044,non_human
815726132,26327stwb,2,4,0.044,non_human
815726133,02714gnlc,2,4,0.044,non_human
815726144,05862lkta,2,4,0.044,non_human
815726192,04772lktc,2,4,0.044,non_human
815726207,07051jcsc,2,4,0.044,non_human
815726306,Marduk021374,2,4,0.044,non_human
815726312,25979stwa,2,4,0.044,non_human
815726316,05482lkta,2,4,0.044,non_human
815726329,stwa29166,2,4,0.044,non_human
815726353,gnlc21638,2,4,0.044,non_human
815726355,26501stwb,2,4,0.044,non_human
815726358,05651lkta,2,4,0.044,non_human
815726396,02190gnlc,2,4,0.044,non_human
815726400,07110jcsc,2,4,0.044,non_human
815726424,02113gnlb,2,4,0.044,non_human
815726426,83114slhb,2,4,0.044,non_human
815726453,26062stwa,2,4,0.044,non_human
815726468,slhd28581,2,4,0.044,non_human
815726470,yeahitsmario,3,8,0.957,human
815726473,05091lktb,2,4,0.044,non_human
815726511,07704jcsc,2,4,0.044,non_human
815726520,celsxo,3,8,0.957,human
815726523,roolbrittania,0,7,0.917,human
815726525,04220trda,2,4,0.044,non_human
815726543,83281slhb,2,4,0.044,non_human
815726574,27278stwd,2,4,0.044,non_human
815726593,stwd29673,2,4,0.044,non_human
815726637,02659gnlc,2,4,0.044,non_human
815726658,27248stwd,2,4,0.044,non_human
815726660,slha28265,2,4,0.044,non_human
815726672,penn32079,2,4,0.044,non_human
815726742,06020lkta,2,4,0.044,non_human
815726803,05086lktb,2,4,0.044,non_human
815726811,EddieSlain,3,7,0.917,human
815726885,06359jcsa,2,4,0.044,non_human
815726898,lakl31636,2,4,0.044,non_human
815726910,kmillermaster,3,7,0.917,human
815726932,04785lktc,2,4,0.044,non_human
815726983,stwg30085,2,4,0.044,non_human
815727009,07934jcsc,2,4,0.044,non_human
815727018,04530lktc,2,4,0.044,non_human
815727021,83540slhb,2,4,0.044,non_human
815727031,hayalidny,3,7,0.917,human
815727042,26058stwa,2,4,0.044,non_human
815727049,stwc29516,2,4,0.044,non_human
815727061,26257stwb,2,4,0.044,non_human
815727150,03871trdb,2,4,0.044,non_human
815727247,05544lkta,2,4,0.044,non_human
815727269,Original310h,3,8,0.957,human
815727311,jill_royson,3,7,0.917,human
815727344,03293trdb,2,4,0.044,non_human
815727371,02891trdc,2,4,0.044,non_human
815727428,07753jcsc,2,4,0.044,non_human
815727439,83236slhb,2,4,0.044,non_human
815727476,27351stwd,2,4,0.044,non_human
815727482,03872trdb,2,4,0.044,non_human
815727528,06612jcsb,2,4,0.044,non_human
815727540,02584gnlc,2,4,0.044,non_human
815727565,stwd29601,2,4,0.044,non_human
815727593,07417jcsc,2,4,0.044,non_human
815727596,russell000x,2,4,0.044,non_human
815727604,08090gnlb,2,4,0.044,non_human
815727615,26041stwa,2,4,0.044,non_human
815727620,_SVNORITA,3,8,0.957,human
815727645,VicClassified,3,8,0.957,human
815727679,07423jcsc,2,4,0.044,non_human
815727680,26180stwa,2,4,0.044,non_human
815727700,9tjones9,3,7,0.917,human
815727705,03274trdb,2,4,0.044,non_human
815727706,83239slhb,2,4,0.044,non_human
815727783,05744lkta,2,4,0.044,non_human
815727793,VeryPhanny,3,7,0.917,human
815727798,06488jcsb,2,4,0.044,non_human
815727850,05633lkta,2,4,0.044,non_human
815727963,03589trdb,2,4,0.044,non_human
815727986,27237stwd,2,4,0.044,non_human
815728034,Ohwaawaa,0,7,0.917,human
815728049,04780lktc,2,4,0.044,non_human
815728070,edam74,3,8,0.957,human
815728093,26537stwb,2,4,0.044,non_human
815728102,04287trda,2,4,0.044,non_human
815728112,83830slhd,2,4,0.044,non_human
815728126,04492lktc,2,4,0.044,non_human
815728151,07733jcsc,2,4,0.044,non_human
815728156,04478lktc,2,4,0.044,non_human
815728191,82243slha,2,4,0.044,non_human
815728255,stwb29409,2,4,0.044,non_human
815728260,dmfa26263,2,4,0.044,non_human
815728330,cuss31805,2,4,0.044,non_human
815728414,07052jcsc,2,4,0.044,non_human
815728429,06611jcsb,2,4,0.044,non_human
815728445,04217trda,2,4,0.044,non_human
815728484,CrestfallenJay,0,7,0.917,human
815728488,06231jcsa,2,4,0.044,non_human
815728510,blac31516,2,4,0.044,non_human
815728517,slhf22748,2,4,0.044,non_human
815728527,02877trdc,2,4,0.044,non_human
815728562,83864slhd,2,4,0.044,non_human
815728566,dmfa26250,2,4,0.044,non_human
815728567,savt31406,2,4,0.044,non_human
815728587,04547lktc,2,4,0.044,non_human
815728588,dmfa26241,2,4,0.044,non_human
815728593,Ite_chill,3,8,0.957,human
815728609,destinyraauhl,3,8,0.957,human
815728640,The_Shy_Sheep,3,7,0.917,human
815728654,slhf22802,2,4,0.044,non_human
815728659,03289trdb,2,4,0.044,non_human
815728663,07601jcsc,2,4,0.044,non_human
815728667,02860trdc,2,4,0.044,non_human
815728669,02634gnlc,2,4,0.044,non_human
815728688,art_control,1,8,0.957,human
815728698,gnlc21562,2,4,0.044,non_human
815728699,slhf29143,2,4,0.044,non_human
815728737,deso31743,2,4,0.044,non_human
815728750,06493jcsb,2,4,0.044,non_human
815728756,dmfa20857,2,4,0.044,non_human
815728757,stwd29655,2,4,0.044,non_human
815728802,johnpri73850456,2,4,0.044,non_human
815728862,stwa29209,2,4,0.044,non_human
815728866,02859trdc,2,4,0.044,non_human
815728887,ChasinMyDreamsx,1,8,0.957,human
815728919,gnlc21635,2,4,0.044,non_human
815728954,saltIess,3,7,0.917,human
815728980,06471jcsb,2,4,0.044,non_human
815728984,08042gnla,2,4,0.044,non_human
815728989,05494lkta,2,4,0.044,non_human
815729049,06335jcsa,2,4,0.044,non_human
815729118,Shammaahh,3,8,0.957,human
815729121,slhf29135,2,4,0.044,non_human
815729138,Avansies,3,8,0.957,human
815729141,slhf22903,2,4,0.044,non_human
815729220,01702gnlb,2,4,0.044,non_human
815729221,04021trda,2,4,0.044,non_human
815729224,06230jcsa,2,4,0.044,non_human
815729236,jesa31546,2,4,0.044,non_human
815729240,04940lktb,2,4,0.044,non_human
815729315,08041gnla,2,4,0.044,non_human
815729349,02902trdc,2,4,0.044,non_human
815729460,XxClayHall115xX,3,7,0.917,human
815729465,daissygee19,0,7,0.917,human
815729479,TEENAGEVlBES,3,8,0.957,human
815730302,karbdashian,3,8,0.957,human
815730343,kimokumo,3,8,0.957,human
815730346,StarlightMcKenz,3,8,0.957,human
815730365,OdinCSGO,0,7,0.917,human
815730408,denimblob,0,7,0.917,human
815731554,TheGrassLizard,0,7,0.917,human
815731760,BornToChill,3,8,0.957,human
815732126,cool_and_iknow,3,8,0.957,human
815732219,Mug_Punter_NI,0,7,0.917,human
815732275,divaddelgado,3,8,0.957,human
815732459,kennemesies,0,7,0.917,human
815732827,6d6y,0,7,0.917,human
815732910,pavel071985,0,4,0.044,non_human
815732995,ozzyway1,0,7,0.917,human
815733128,flowrcrownlouis,3,8,0.957,human
815733129,_MUBEEN_,3,8,0.957,human
815733234,Fallykay,0,7,0.917,human
815733335,DAraGon96,3,8,0.957,human
815733399,jespertje66,3,7,0.917,human
815733517,l1iee,3,7,0.917,human
815733525,Kiqoseven,3,8,0.957,human
815733544,bebeazizz,3,8,0.957,human
815733755,AudeBordetti,0,8,0.957,human
815733830,LeAnhTony,3,7,0.917,human
815733869,phan_mean,0,7,0.917,human
815733898,steyb76,0,7,0.917,human
815734077,himeshite,3,8,0.957,human
815734242,Gida152,0,7,0.917,human
815734296,AccioStarKid,3,8,0.957,human
815734333,tidma_kvh,0,7,0.917,human
815734387,kenhhina,3,7,0.917,human
815734497,rachaelgriffin6,3,8,0.957,human
815734505,Glaeken55,0,7,0.917,human
815734592,Sejo_DahGr8,3,8,0.957,human
815734626,ourswansongs,3,8,0.957,human
815734646,smokinhoodx,3,8,0.957,human
815734685,SketchBolt,3,8,0.957,human
815734723,stopth3world,3,8,0.957,human
815735042,zionfromyigo,3,7,0.917,human
815735143,lychee_le,0,7,0.917,human
815735407,historianess,3,8,0.957,human
815735646,AnnaPm6277,3,7,0.917,human
815735751,SwaglordSeru,3,7,0.917,human
815735922,RebaFluff,0,7,0.917,human
815736082,Josh_Riet,0,7,0.917,human
815736194,Procyon9Z,0,7,0.917,human
815736218,Fellbrew,0,7,0.917,human
815736257,kristaferanka,3,8,0.957,human
815736260,Whatsherface72,3,7,0.917,human
815736468,annikboney,0,7,0.917,human
815736517,BookwormGhost,3,7,0.917,human
815736546,Graziaclar,3,8,0.957,human
815736590,ThePimpinPuppet,3,7,0.917,human
815736610,declan_forster,0,7,0.917,human
815736917,Edmo_and_Jacko,3,7,0.917,human
815736971,radmadeline,3,7,0.917,human
815737005,SkullYami,3,8,0.957,human
815737200,haultiers,3,8,0.957,human
815737342,Warpcorps,3,7,0.917,human
815737451,m28246491,3,4,0.044,non_human
815737738,klimeow,3,8,0.957,human
815737808,pesserine,3,7,0.917,human
815737894,nmellowulf,0,7,0.917,human
815738140,Gwenbot_ebooks,3,7,0.917,human
815738242,MORE2CENTS,3,7,0.917,human
815738255,newgroundstier,3,7,0.917,human
815738294,Sabrooooooo,3,7,0.917,human
815738509,TheFattHatt,0,7,0.917,human
815739034,singitsa_uchia,3,7,0.917,human
815739089,pengay2424g,2,4,0.044,non_human
815739413,connor_hatstat,0,7,0.917,human
815739422,Khxtun,3,8,0.957,human
815739463,foreverLiberal,1,8,0.957,human
815739484,Adele213,3,8,0.957,human
