_unit_id,name,gender,gender:confidence,cluster,fine_cluster,cluster_says,cluster_human_rate,distance_to_centre,also_by_rules
815731133,NaughtyToyss,brand,1.0,3,7,human,0.917,2.31,0
815731666,ClarenGary,brand,0.6745,0,7,human,0.917,2.31,0
815722758,polwrestling,brand,0.3429,0,7,human,0.917,2.33,0
815735393,TENCH0U_,brand,0.6772,0,7,human,0.917,2.33,1
815736853,theARKHAM_,brand,0.6809,0,7,human,0.917,2.33,1
815721851,zAcquired,brand,0.6619,0,7,human,0.917,2.34,0
815729776,ssquala,brand,0.6669,3,7,human,0.917,2.35,0
815724186,macuskeli,brand,0.6635,0,7,human,0.917,2.36,0
815735968,PenguinBoss1,brand,1.0,0,7,human,0.917,2.36,0
815738361,Imreallyshitty,brand,0.676,0,7,human,0.917,2.38,1
815729681,TeamYouTube,brand,1.0,0,7,human,0.917,2.39,1
815724251,kamyb22,brand,0.3401,3,7,human,0.917,2.4,1
815737050,Travel_Barrel,brand,1.0,0,7,human,0.917,2.4,0
815727663,Brandonuts_Game,brand,1.0,0,7,human,0.917,2.42,0
815735123,Davidwash3r3,brand,0.6848,3,7,human,0.917,2.45,0
815730773,MoreFifaFun,brand,1.0,0,7,human,0.917,2.46,1
815735660,TheMartinParty,brand,1.0,0,7,human,0.917,2.46,0
815735689,Travel_Word,brand,1.0,0,7,human,0.917,2.46,0
815727824,Foothill_Dance,brand,1.0,0,7,human,0.917,2.48,1
815734559,LeAnnsFissure,brand,0.6749,0,7,human,0.917,2.49,0
815734621,treadcomics,brand,1.0,0,7,human,0.917,2.5,0
815737186,bonhomme37,brand,0.6584,3,7,human,0.917,2.5,1
815720486,_LHS_Leadership,brand,1.0,0,7,human,0.917,2.53,1
815737181,Valerie_832,brand,0.675,3,7,human,0.917,2.53,0
815732290,blazingbooks420,brand,0.6912,3,7,human,0.917,2.54,1
815732178,dariancordova,brand,0.6615,0,7,human,0.917,2.55,1
815733117,McTermii,brand,1.0,0,7,human,0.917,2.55,0
815735128,HaysheadNursery,brand,1.0,0,7,human,0.917,2.56,0
815734204,anytimetips,brand,1.0,0,7,human,0.917,2.6,1
815729279,DiversityIsALie,brand,1.0,0,7,human,0.917,2.62,1
815731718,AlmiiCuello,brand,0.314,0,7,human,0.917,2.63,1
815738009,Team_Christ77,brand,0.6916,0,7,human,0.917,2.65,0
815725166,lrhstereo,brand,0.6787,3,7,human,0.917,2.66,1
815732594,420USAPAC,brand,1.0,0,7,human,0.917,2.68,0
815735222,CasNovak305,brand,0.6766,0,7,human,0.917,2.7,0
815722272,FoComcfc,brand,1.0,0,7,human,0.917,2.75,1
815721699,MetalFortressCT,brand,1.0,3,7,human,0.917,2.76,1
815737509,viperblood77,brand,1.0,3,7,human,0.917,2.77,1
815720070,CyberneticPym,brand,0.6523,0,7,human,0.917,2.8,1
815724527,vote41dbro,brand,1.0,0,7,human,0.917,2.8,1
815721239,RedLineCommuter,brand,0.3551,0,7,human,0.917,2.83,1
815737618,theunitedmanc,brand,1.0,3,7,human,0.917,2.83,1
815723600,AlboSwagger,brand,0.6736,0,7,human,0.917,2.85,1
815721625,LosHalepenos,brand,1.0,0,7,human,0.917,2.86,1
815725173,powderballcp,brand,1.0,0,7,human,0.917,2.87,1
815727046,DiamondDawit,brand,0.672,0,7,human,0.917,2.87,1
815739022,TonyIguana69,brand,0.6432,0,7,human,0.917,2.88,0
815725330,nuki_shitposts,brand,0.6446,3,7,human,0.917,2.89,1
815736962,goatsworthy,brand,0.3571,0,7,human,0.917,2.89,1
815729137,VerseUniverse,brand,0.6688,0,7,human,0.917,2.91,1
815730820,destiny_weaver,brand,0.3456,3,7,human,0.917,2.92,1
815726528,vaetasMKTG,brand,1.0,0,7,human,0.917,2.94,0
815732814,BigBlackDonaghy,brand,1.0,0,7,human,0.917,2.96,1
815720454,BrandsKingdom,brand,1.0,0,7,human,0.917,2.97,1
815734931,PharmSpc,brand,1.0,0,7,human,0.917,2.99,1
815726216,SaleSafari,brand,1.0,3,7,human,0.917,3.0,1
815737925,5SOSHotelReport,brand,1.0,3,7,human,0.917,3.01,1
815724209,brewerpackaging,brand,1.0,0,7,human,0.917,3.05,1
815733649,dronesweetie,brand,1.0,0,7,human,0.917,3.05,0
815739318,GBISummerSchool,brand,1.0,0,7,human,0.917,3.05,1
815722602,SteinbeckCenter,brand,1.0,1,7,human,0.917,3.06,0
815733096,sypijeleje,brand,0.6583,0,7,human,0.917,3.08,1
815736675,SHSComplimnts,brand,1.0,3,7,human,0.917,3.12,1
815733166,tpmquiz,brand,1.0,0,7,human,0.917,3.15,1
815739536,OrionsBlack,brand,0.6744,0,7,human,0.917,3.18,1
815731539,dks2_ebooks,brand,1.0,0,7,human,0.917,3.2,1
815725486,c0l5hy69,brand,0.6678,1,7,human,0.917,3.36,1
815735292,19jim47,brand,0.6665,3,7,human,0.917,3.36,1
815720927,GalaxyRemix922,brand,0.6708,3,7,human,0.917,3.49,0
815725447,Zinxii_FFA,brand,0.3497,3,7,human,0.917,3.63,1
815733577,weeddream420,brand,1.0,3,7,human,0.917,3.83,1
815721398,348255gbabies,brand,0.6597,3,7,human,0.917,4.96,0
815723329,SketchMasterMJH,brand,0.6659,3,8,human,0.957,1.24,1
815720241,kubidyza,brand,1.0,3,8,human,0.957,1.25,0
815739377,BarbasolShave,brand,1.0,3,8,human,0.957,1.33,1
815737554,przemusiowa,brand,0.6461,3,8,human,0.957,1.36,1
815722828,JKE_G,brand,0.6769,3,8,human,0.957,1.39,1
815727388,mojo_YOjo,brand,0.6368,3,8,human,0.957,1.4,1
815736461,whoaskedyoushit,brand,0.648,3,8,human,0.957,1.4,1
815738253,cashset_Lae,brand,1.0,3,8,human,0.957,1.41,1
815729321,nobrightside,brand,0.6566,3,8,human,0.957,1.44,1
815729201,KazJester,brand,0.6591,3,8,human,0.957,1.45,1
815733174,daddy_unchained,brand,0.3303,3,8,human,0.957,1.46,1
815732012,kenziesachen,brand,0.3361,3,8,human,0.957,1.51,1
815721529,GrizzleBF,brand,1.0,3,8,human,0.957,1.54,1
815731688,MBieber_Smith,brand,0.6627,3,8,human,0.957,1.55,1
815722730,naegisnaegi,brand,0.6618,3,8,human,0.957,1.56,1
815722137,Cekeshe,brand,0.6789,3,8,human,0.957,1.61,1
815728924,lawyerinbeta,brand,0.6534,3,8,human,0.957,1.63,1
815729965,BriMercedes,brand,0.6792,3,8,human,0.957,1.63,1
815724741,daejones,brand,0.6736,3,8,human,0.957,1.64,1
815733644,byZayys,brand,1.0,3,8,human,0.957,1.65,1
815724692,_wonderfrankie,brand,1.0,3,8,human,0.957,1.8,0
815726503,Gargamelkiller,brand,0.6667,3,8,human,0.957,1.81,1
815728023,lowkeylwt_,brand,0.3595,3,8,human,0.957,1.82,1
815723593,spazil,brand,0.6707,3,8,human,0.957,1.84,1
815732415,viria13,brand,0.6543,3,8,human,0.957,1.84,1
815723206,ChayseFox,brand,0.6577,3,8,human,0.957,1.85,1
815738412,iAxX23,brand,0.6504,3,8,human,0.957,1.86,1
815739402,KINGPOM_FUCKYOU,brand,0.6661,3,8,human,0.957,1.87,1
815737303,TheOnlyAhmed,brand,0.6751,3,8,human,0.957,1.91,1
815719591,sufurkater,brand,0.6818,3,8,human,0.957,1.92,0
815726256,ltmcdies,brand,1.0,3,8,human,0.957,1.95,1
815739580,BabiesGunsJesus,brand,0.6354,3,8,human,0.957,1.96,1
815736344,ClarityDaily,brand,0.6457,3,8,human,0.957,1.98,0
815739540,KuKu_EmmaW_fan,brand,0.3418,3,8,human,0.957,2.0,1
815719400,WarOnTheRocks,brand,1.0,3,8,human,0.957,2.01,1
815731152,OverDriveLibs,brand,1.0,3,8,human,0.957,2.02,1
815734342,dadadaily,brand,0.6534,3,8,human,0.957,2.02,1
815734350,pumpkin_horse,brand,0.6502,3,8,human,0.957,2.02,1
815722160,sigmacoder,brand,0.6497,0,8,human,0.957,2.03,1
815729653,ljgrover22,brand,1.0,0,8,human,0.957,2.04,1
815738130,2faceh,brand,0.6296,3,8,human,0.957,2.05,1
815723056,byediva,brand,0.6602,3,8,human,0.957,2.06,1
815729588,luciboo80,brand,0.347,3,8,human,0.957,2.06,1
815731047,Taz_Cat1,brand,0.6551,3,8,human,0.957,2.06,0
815735687,CyborgScreams,brand,0.6768,3,8,human,0.957,2.06,0
815736240,owldom,brand,0.6556,3,8,human,0.957,2.06,1
815729846,peartonjohnson,brand,0.3375,1,8,human,0.957,2.09,0
815729780,itsterrio_hoe,brand,0.6704,3,8,human,0.957,2.1,1
815737967,ACHoang32,brand,1.0,3,8,human,0.957,2.1,1
815737960,CoolTrainrJulio,brand,0.6562,3,8,human,0.957,2.13,1
815727267,bobcatarts,brand,0.6574,3,8,human,0.957,2.14,1
815728098,Hollyoakslover3,brand,0.6674,3,8,human,0.957,2.16,1
815722995,C_S__,brand,0.6613,3,8,human,0.957,2.18,1
815725645,SMACKHighNY,brand,0.678,3,8,human,0.957,2.19,1
815723235,THE_HOEOLOGIST,brand,0.6545,3,8,human,0.957,2.2,0
815725754,K1LLz_,brand,0.369,3,8,human,0.957,2.2,1
815737867,bones_six7,brand,0.6598,3,8,human,0.957,2.23,1
815738576,JbSleaz,brand,1.0,3,8,human,0.957,2.23,1
815727479,_MyDemons__,brand,1.0,3,8,human,0.957,2.24,1
815730979,rudetellzLBC,brand,0.6864,1,8,human,0.957,2.24,0
815726539,BI_Europe,brand,1.0,1,8,human,0.957,2.25,0
815734999,Nuevomedio,brand,1.0,3,8,human,0.957,2.27,1
815720346,HogwartsCitou,brand,0.6768,3,8,human,0.957,2.3,1
815737613,cnorton128,brand,0.6802,3,8,human,0.957,2.3,0
815727895,_Turntway,brand,0.6589,0,8,human,0.957,2.32,1
815727299,BIRP,brand,0.6739,3,8,human,0.957,2.33,1
815726071,Freudianslipz,brand,0.6761,3,8,human,0.957,2.34,0
815735283,TruthBToldDe,brand,0.647,3,8,human,0.957,2.34,1
815730562,LakeHastingsWea,brand,1.0,3,8,human,0.957,2.36,0
815730262,Kyuugayaku,brand,0.6685,3,8,human,0.957,2.39,1
815723117,GQMagazine,brand,1.0,1,8,human,0.957,2.4,0
815734564,bosunescobar,brand,0.3376,3,8,human,0.957,2.41,0
815723594,ranveersbabe,brand,0.3404,3,8,human,0.957,2.42,0
815724955,TheEscapistMag,brand,1.0,1,8,human,0.957,2.42,1
815719997,AudreyEnjoyLife,brand,0.6655,3,8,human,0.957,2.43,1
815720508,kgon,brand,1.0,0,8,human,0.957,2.43,1
815731390,jaklumen,brand,0.6697,3,8,human,0.957,2.45,1
815737004,Milena_mico,brand,0.3423,1,8,human,0.957,2.46,1
815724385,afscot,brand,0.6619,3,8,human,0.957,2.48,1
815733227,FreelanceWJ,brand,1.0,0,8,human,0.957,2.48,0
815736351,robotic_icon,brand,0.6656,1,8,human,0.957,2.51,0
815727109,loookapanda,brand,0.6705,0,8,human,0.957,2.52,1
815727669,_shunsou,brand,0.6707,3,8,human,0.957,2.58,1
815722929,fosteravepro,brand,0.6642,3,8,human,0.957,2.59,1
815720445,LittleMix,brand,0.6623,3,8,human,0.957,2.65,1
815723037,My1Universe,brand,1.0,3,8,human,0.957,2.65,1
815726408,Legna989,brand,0.6587,3,8,human,0.957,2.68,0
815730496,kneedough,brand,0.6666,1,8,human,0.957,2.72,1
815720271,Dragon_Ball_S_,brand,1.0,1,8,human,0.957,2.76,0
815731148,timc4567,brand,0.3411,3,8,human,0.957,2.89,0
815732407,IUParking,brand,1.0,0,8,human,0.957,2.91,1
815733835,bcfc_fans_fc,brand,1.0,3,8,human,0.957,3.03,1
815732828,AnimalWorIds,brand,0.6501,0,8,human,0.957,3.05,1
815726875,noquestions,brand,0.6777,1,8,human,0.957,3.2,1
